fips,nameState,nameCounty,abState,population,area
51015,Virginia,Augusta County,VA,73750,966.999
51017,Virginia,Bath County,VA,4731,529.158
51019,Virginia,Bedford County,VA,68676,753.021
51021,Virginia,Bland County,VA,6824,357.725
51023,Virginia,Botetourt County,VA,33148,541.202
51025,Virginia,Brunswick County,VA,17434,566.173
51027,Virginia,Buchanan County,VA,24098,502.763
51029,Virginia,Buckingham County,VA,17146,579.657
51031,Virginia,Campbell County,VA,54842,503.867
51033,Virginia,Caroline County,VA,28545,527.513
51035,Virginia,Carroll County,VA,30042,474.69
51036,Virginia,Charles City County,VA,7256,182.817
51037,Virginia,Charlotte County,VA,12586,475.271
51041,Virginia,Chesterfield County,VA,316236,423.297
51043,Virginia,Clarke County,VA,14034,176.177
51045,Virginia,Craig County,VA,5190,329.534
51047,Virginia,Culpeper County,VA,46689,379.234
51049,Virginia,Cumberland County,VA,10052,297.461
51051,Virginia,Dickenson County,VA,15903,330.532
51053,Virginia,Dinwiddie County,VA,28001,503.716
51057,Virginia,Essex County,VA,11151,257.123
51059,Virginia,Fairfax County,VA,1081726,390.969
51061,Virginia,Fauquier County,VA,65203,647.449
51063,Virginia,Floyd County,VA,15279,380.42
51065,Virginia,Fluvanna County,VA,25691,286.005
51067,Virginia,Franklin County,VA,56159,690.426
51069,Virginia,Frederick County,VA,78305,413.496
51071,Virginia,Giles County,VA,17286,355.781
51073,Virginia,Gloucester County,VA,36858,217.807
51075,Virginia,Goochland County,VA,21717,281.415
51077,Virginia,Grayson County,VA,15533,442.175
51079,Virginia,Greene County,VA,18403,156.246
51081,Virginia,Greensville County,VA,12243,295.226
51083,Virginia,Halifax County,VA,36241,817.839
51085,Virginia,Hanover County,VA,99863,468.536
51087,Virginia,Henrico County,VA,306935,233.697
51089,Virginia,Henry County,VA,54151,382.334
51091,Virginia,Highland County,VA,2321,415.156
51093,Virginia,Isle of Wight County,VA,35270,315.612
51095,Virginia,James City County,VA,67009,142.437
51097,Virginia,King and Queen County,VA,6945,315.138
51099,Virginia,King George County,VA,23584,179.636
51101,Virginia,King William County,VA,15935,273.941
51103,Virginia,Lancaster County,VA,11391,133.25
51105,Virginia,Lee County,VA,25587,435.518
51107,Virginia,Loudoun County,VA,312311,515.561
51109,Virginia,Louisa County,VA,33153,496.3
51111,Virginia,Lunenburg County,VA,12914,431.683
51113,Virginia,Madison County,VA,13308,320.683
51115,Virginia,Mathews County,VA,8978,85.929
51117,Virginia,Mecklenburg County,VA,32727,625.485
51119,Virginia,Middlesex County,VA,10959,130.306
51121,Virginia,Montgomery County,VA,94392,387.014
51125,Virginia,Nelson County,VA,15020,470.856
51127,Virginia,New Kent County,VA,18429,209.729
51131,Virginia,Northampton County,VA,12389,211.612
51133,Virginia,Northumberland County,VA,12330,191.295
51135,Virginia,Nottoway County,VA,15853,314.392
51137,Virginia,Orange County,VA,33481,340.783
51139,Virginia,Page County,VA,24042,310.856
51141,Virginia,Patrick County,VA,18490,483.096
51143,Virginia,Pittsylvania County,VA,63506,968.941
51145,Virginia,Powhatan County,VA,28046,260.221
51147,Virginia,Prince Edward County,VA,23368,349.96
51149,Virginia,Prince George County,VA,35725,265.155
51153,Virginia,Prince William County,VA,402002,336.402
51155,Virginia,Pulaski County,VA,34872,319.858
51157,Virginia,Rappahannock County,VA,7373,266.227
51159,Virginia,Richmond County,VA,9254,191.492
51161,Virginia,Roanoke County,VA,92376,250.518
51163,Virginia,Rockbridge County,VA,22307,597.558
51165,Virginia,Rockingham County,VA,76314,849.086
51167,Virginia,Russell County,VA,28897,473.822
51169,Virginia,Scott County,VA,23177,535.53
51171,Virginia,Shenandoah County,VA,41993,508.776
51173,Virginia,Smyth County,VA,32208,450.928
51175,Virginia,Southampton County,VA,18570,599.145
51177,Virginia,Spotsylvania County,VA,122397,401.496
51179,Virginia,Stafford County,VA,128961,268.956
51181,Virginia,Surry County,VA,7058,278.949
51183,Virginia,Sussex County,VA,12087,490.22
51185,Virginia,Tazewell County,VA,45078,518.846
51187,Virginia,Warren County,VA,37575,213.465
51191,Virginia,Washington County,VA,54876,560.975
51193,Virginia,Westmoreland County,VA,17454,229.375
51195,Virginia,Wise County,VA,41452,403.189
51197,Virginia,Wythe County,VA,29235,461.824
51199,Virginia,York County,VA,65464,104.78
51510,Virginia,Alexandria city,VA,139966,15.027
51515,Virginia,Bedford city,VA,6222,6.878
51520,Virginia,Bristol city,VA,17835,13.013
51530,Virginia,Buena Vista city,VA,6650,6.704
51540,Virginia,Charlottesville city,VA,43475,10.238
51550,Virginia,Chesapeake city,VA,222209,340.8
51570,Virginia,Colonial Heights city,VA,17411,7.52
51580,Virginia,Covington city,VA,5961,5.468
51590,Virginia,Danville city,VA,43055,42.934
51595,Virginia,Emporia city,VA,5927,6.894
51600,Virginia,Fairfax city,VA,22565,6.239
51610,Virginia,Falls Church city,VA,12332,1.999
51620,Virginia,Franklin city,VA,8582,8.206
51630,Virginia,Fredericksburg city,VA,24286,10.44
51640,Virginia,Galax city,VA,7042,8.24
51650,Virginia,Hampton city,VA,137436,51.413
51660,Virginia,Harrisonburg city,VA,48914,17.418
51670,Virginia,Hopewell city,VA,22591,10.278
51678,Virginia,Lexington city,VA,7042,2.497
51680,Virginia,Lynchburg city,VA,75568,49.128
51683,Virginia,Manassas city,VA,37821,9.881
51685,Virginia,Manassas Park city,VA,14273,2.534
51690,Virginia,Martinsville city,VA,13821,10.956
51700,Virginia,Newport News city,VA,180719,68.714
51710,Virginia,Norfolk city,VA,242803,54.12
51720,Virginia,Norton city,VA,3958,7.481
51730,Virginia,Petersburg city,VA,32420,22.932
51735,Virginia,Poquoson city,VA,12150,15.317
51740,Virginia,Portsmouth city,VA,95535,33.653
51750,Virginia,Radford city,VA,16408,9.872
51760,Virginia,Richmond city,VA,204214,59.805
51770,Virginia,Roanoke city,VA,97032,42.562
51775,Virginia,Salem city,VA,24802,14.437
51790,Virginia,Staunton city,VA,23746,19.975
51800,Virginia,Suffolk city,VA,84585,400.168
51810,Virginia,Virginia Beach city,VA,437994,249.016
51820,Virginia,Waynesboro city,VA,21006,15.039
51830,Virginia,Williamsburg city,VA,14068,9.022
51840,Virginia,Winchester city,VA,26203,9.233
53001,Washington,Adams County,WA,18728,1924.978
53003,Washington,Asotin County,WA,21623,636.213
53005,Washington,Benton County,WA,175177,1700.379
53007,Washington,Chelan County,WA,72453,2920.525
53009,Washington,Clallam County,WA,71404,1738.329
53011,Washington,Clark County,WA,425363,629.004
53013,Washington,Columbia County,WA,4078,868.629
53015,Washington,Cowlitz County,WA,102410,1140.125
53017,Washington,Douglas County,WA,38431,1819.264
53019,Washington,Ferry County,WA,7551,2203.159
53021,Washington,Franklin County,WA,78163,1242.171
53023,Washington,Garfield County,WA,2266,710.686
53025,Washington,Grant County,WA,89120,2679.513
53027,Washington,Grays Harbor County,WA,72797,1902.027
53029,Washington,Island County,WA,78506,208.449
53031,Washington,Jefferson County,WA,29872,1803.7
53033,Washington,King County,WA,1931249,2115.566
53035,Washington,Kitsap County,WA,251133,394.941
53037,Washington,Kittitas County,WA,40915,2297.271
53039,Washington,Klickitat County,WA,20318,1871.313
53041,Washington,Lewis County,WA,75455,2402.802
53043,Washington,Lincoln County,WA,10570,2310.494
53045,Washington,Mason County,WA,60699,959.417
53047,Washington,Okanogan County,WA,41120,5267.978
53049,Washington,Pacific County,WA,20920,932.658
53051,Washington,Pend Oreille County,WA,13001,1399.989
53053,Washington,Pierce County,WA,795225,1669.508
53055,Washington,San Juan County,WA,15769,173.915
53057,Washington,Skagit County,WA,116901,1731.203
53059,Washington,Skamania County,WA,11066,1655.677
53061,Washington,Snohomish County,WA,713335,2087.273
53063,Washington,Spokane County,WA,471221,1763.791
53065,Washington,Stevens County,WA,43531,2477.765
53067,Washington,Thurston County,WA,252264,721.961
53069,Washington,Wahkiakum County,WA,3978,263.375
53071,Washington,Walla Walla County,WA,58781,1270.129
53073,Washington,Whatcom County,WA,201140,2106.857
53075,Washington,Whitman County,WA,44776,2159.09
53077,Washington,Yakima County,WA,243231,4295.396
54001,West Virginia,Barbour County,WV,16589,341.059
54003,West Virginia,Berkeley County,WV,104169,321.142
54005,West Virginia,Boone County,WV,24629,501.543
54007,West Virginia,Braxton County,WV,14523,510.812
54009,West Virginia,Brooke County,WV,24069,89.205
54011,West Virginia,Cabell County,WV,96319,281.018
54013,West Virginia,Calhoun County,WV,7627,279.249
54015,West Virginia,Clay County,WV,9386,341.902
54017,West Virginia,Doddridge County,WV,8202,319.72
54019,West Virginia,Fayette County,WV,46039,661.55
54021,West Virginia,Gilmer County,WV,8693,338.503
54023,West Virginia,Grant County,WV,11937,477.373
54025,West Virginia,Greenbrier County,WV,35480,1019.569
54027,West Virginia,Hampshire County,WV,23964,640.249
54029,West Virginia,Hancock County,WV,30676,82.609
54031,West Virginia,Hardy County,WV,14025,582.312
54033,West Virginia,Harrison County,WV,69099,416.008
54035,West Virginia,Jackson County,WV,29211,464.348
54037,West Virginia,Jefferson County,WV,53498,209.635
54039,West Virginia,Kanawha County,WV,193063,901.587
54041,West Virginia,Lewis County,WV,16372,384.895
54043,West Virginia,Lincoln County,WV,21720,437.039
54045,West Virginia,Logan County,WV,36743,453.737
54047,West Virginia,McDowell County,WV,22113,533.456
54049,West Virginia,Marion County,WV,56418,308.735
54051,West Virginia,Marshall County,WV,33107,305.431
54053,West Virginia,Mason County,WV,27324,430.748
54055,West Virginia,Mercer County,WV,62264,418.993
54057,West Virginia,Mineral County,WV,28212,327.83
54059,West Virginia,Mingo County,WV,26839,423.109
54061,West Virginia,Monongalia County,WV,96189,360.062
54063,West Virginia,Monroe County,WV,13502,472.752
54065,West Virginia,Morgan County,WV,17541,229.073
54067,West Virginia,Nicholas County,WV,26233,646.824
54069,West Virginia,Ohio County,WV,44443,105.82
54071,West Virginia,Pendleton County,WV,7695,696.049
54073,West Virginia,Pleasants County,WV,7605,130.103
54075,West Virginia,Pocahontas County,WV,8719,940.284
54077,West Virginia,Preston County,WV,33520,648.805
54079,West Virginia,Putnam County,WV,55486,345.669
54081,West Virginia,Raleigh County,WV,78859,605.351
54083,West Virginia,Randolph County,WV,29405,1039.681
54085,West Virginia,Ritchie County,WV,10449,451.991
54087,West Virginia,Roane County,WV,14926,483.563
54089,West Virginia,Summers County,WV,13927,360.46
54091,West Virginia,Taylor County,WV,16895,172.771
54093,West Virginia,Tucker County,WV,7141,418.922
54095,West Virginia,Tyler County,WV,9208,256.294
54097,West Virginia,Upshur County,WV,24254,354.638
54099,West Virginia,Wayne County,WV,42481,505.981
54101,West Virginia,Webster County,WV,9154,553.468
54103,West Virginia,Wetzel County,WV,16583,358.063
54105,West Virginia,Wirt County,WV,5717,232.509
54107,West Virginia,Wood County,WV,86956,366.26
54109,West Virginia,Wyoming County,WV,23796,499.453
55001,Wisconsin,Adams County,WI,20875,645.646
55003,Wisconsin,Ashland County,WI,16157,1045.035
55005,Wisconsin,Barron County,WI,45870,862.711
55007,Wisconsin,Bayfield County,WI,15014,1477.863
55009,Wisconsin,Brown County,WI,248007,529.708
55011,Wisconsin,Buffalo County,WI,13587,671.635
55013,Wisconsin,Burnett County,WI,15457,821.848
55015,Wisconsin,Calumet County,WI,48971,318.236
55017,Wisconsin,Chippewa County,WI,62415,1008.373
55019,Wisconsin,Clark County,WI,34690,1209.815
55021,Wisconsin,Columbia County,WI,56833,765.529
55023,Wisconsin,Crawford County,WI,16644,570.66
55025,Wisconsin,Dane County,WI,488073,1197.239
55027,Wisconsin,Dodge County,WI,88759,875.625
55029,Wisconsin,Door County,WI,27785,481.978
55031,Wisconsin,Douglas County,WI,44159,1304.136
55033,Wisconsin,Dunn County,WI,43857,850.105
55035,Wisconsin,Eau Claire County,WI,98736,637.983
55037,Wisconsin,Florence County,WI,4423,488.195
55039,Wisconsin,Fond du Lac County,WI,101633,719.553
55041,Wisconsin,Forest County,WI,9304,1014.067
55043,Wisconsin,Grant County,WI,51208,1146.849
55045,Wisconsin,Green County,WI,36842,583.957
55047,Wisconsin,Green Lake County,WI,19051,349.437
55049,Wisconsin,Iowa County,WI,23687,762.58
55051,Wisconsin,Iron County,WI,5916,758.174
55053,Wisconsin,Jackson County,WI,20449,987.72
55055,Wisconsin,Jefferson County,WI,83686,556.474
55057,Wisconsin,Juneau County,WI,26664,766.925
55059,Wisconsin,Kenosha County,WI,166426,271.99
55061,Wisconsin,Kewaunee County,WI,20574,342.518
55063,Wisconsin,La Crosse County,WI,114638,451.686
55065,Wisconsin,Lafayette County,WI,16836,633.588
55067,Wisconsin,Langlade County,WI,19977,870.64
55069,Wisconsin,Lincoln County,WI,28743,878.973
55071,Wisconsin,Manitowoc County,WI,81442,589.082
55073,Wisconsin,Marathon County,WI,134063,1544.983
55075,Wisconsin,Marinette County,WI,41749,1399.347
55077,Wisconsin,Marquette County,WI,15404,455.602
55078,Wisconsin,Menominee County,WI,4232,357.608
55079,Wisconsin,Milwaukee County,WI,947735,241.402
55081,Wisconsin,Monroe County,WI,44673,900.776
55083,Wisconsin,Oconto County,WI,37660,997.988
55085,Wisconsin,Oneida County,WI,35998,1112.97
55087,Wisconsin,Outagamie County,WI,176695,637.523
55089,Wisconsin,Ozaukee County,WI,86395,233.077
55091,Wisconsin,Pepin County,WI,7469,231.983
55093,Wisconsin,Pierce County,WI,41019,573.748
55095,Wisconsin,Polk County,WI,44205,913.962
55097,Wisconsin,Portage County,WI,70019,800.679
55099,Wisconsin,Price County,WI,14159,1254.376
55101,Wisconsin,Racine County,WI,195408,332.501
55103,Wisconsin,Richland County,WI,18021,586.151
55105,Wisconsin,Rock County,WI,160331,718.142
55107,Wisconsin,Rusk County,WI,14755,913.585
55109,Wisconsin,St. Croix County,WI,84345,722.329
55111,Wisconsin,Sauk County,WI,61976,830.902
55113,Wisconsin,Sawyer County,WI,16557,1257.305
55115,Wisconsin,Shawano County,WI,41949,893.057
55117,Wisconsin,Sheboygan County,WI,115507,511.265
55119,Wisconsin,Taylor County,WI,20689,974.876
55121,Wisconsin,Trempealeau County,WI,28816,732.965
55123,Wisconsin,Vernon County,WI,29773,791.579
55125,Wisconsin,Vilas County,WI,21430,856.604
55127,Wisconsin,Walworth County,WI,102228,555.127
55129,Wisconsin,Washburn County,WI,15911,797.113
55131,Wisconsin,Washington County,WI,131887,430.703
55133,Wisconsin,Waukesha County,WI,389891,549.574
55135,Wisconsin,Waupaca County,WI,52410,747.713
55137,Wisconsin,Waushara County,WI,24496,626.153
55139,Wisconsin,Winnebago County,WI,166994,434.487
55141,Wisconsin,Wood County,WI,74749,793.116
56001,Wyoming,Albany County,WY,36299,4273.84
56003,Wyoming,Big Horn County,WY,11668,3137.097
56005,Wyoming,Campbell County,WY,46133,4802.709
56007,Wyoming,Carbon County,WY,15885,7897.578
56009,Wyoming,Converse County,WY,13833,4254.883
56011,Wyoming,Crook County,WY,7083,2854.408
56013,Wyoming,Fremont County,WY,40123,9183.814
56015,Wyoming,Goshen County,WY,13249,2225.391
56017,Wyoming,Hot Springs County,WY,4812,2004.092
56019,Wyoming,Johnson County,WY,8569,4154.153
56021,Wyoming,Laramie County,WY,91738,2685.912
56023,Wyoming,Lincoln County,WY,18106,4076.129
56025,Wyoming,Natrona County,WY,75450,5340.352
56027,Wyoming,Niobrara County,WY,2484,2626.037
56029,Wyoming,Park County,WY,28205,6942.078
56031,Wyoming,Platte County,WY,8667,2084.208
56033,Wyoming,Sheridan County,WY,29116,2523.993
56035,Wyoming,Sublette County,WY,10247,4886.537
56037,Wyoming,Sweetwater County,WY,43806,10426.649
56039,Wyoming,Teton County,WY,21294,3995.379
56041,Wyoming,Uinta County,WY,21118,2081.264
56043,Wyoming,Washakie County,WY,8533,2238.549
56045,Wyoming,Weston County,WY,7208,2398.089
